,clusters,Latitude,Longitude,geometry
25146,0,11.23481702,124.77918059999999,POINT (124.7791806 11.23481702)
25147,0,10.554647000000001,125.17493200000001,POINT (125.174932 10.554647)
25148,0,11.0378,125.6952,POINT (125.6952 11.0378)
25149,0,11.6791,124.3983,POINT (124.3983 11.6791)
25150,1,11.67373333,124.87013329999999,POINT (124.8701333 11.67373333)
25151,0,12.50228048,124.47853090000001,POINT (124.4785309 12.50228048)
25152,2,10.549584,125.170984,POINT (125.170984 10.549584)
25153,2,10.8745655,124.47834540000001,POINT (124.4783454 10.8745655)
25157,2,11.70027778,124.47027779999999,POINT (124.4702778 11.70027778)
25158,1,10.32071385,124.8172313,POINT (124.8172313 10.32071385)
25159,0,12.1688,125.1858,POINT (125.1858 12.1688)
25160,0,11.33749396,124.3440159,POINT (124.3440159 11.33749396)
25161,2,11.547055,124.79626200000001,POINT (124.796262 11.547055)
25162,1,11.16591187,124.5535027,POINT (124.5535027 11.16591187)
25163,0,11.25166667,125.47416670000001,POINT (125.4741667 11.25166667)
25164,2,11.08881513,125.0036014,POINT (125.0036014 11.08881513)
25165,0,10.36432277,124.81917649999998,POINT (124.8191765 10.36432277)
25166,1,12.40405363,124.91703989999999,POINT (124.9170399 12.40405363)
25169,2,11.2439835,124.7539027,POINT (124.7539027 11.2439835)
25170,0,10.055064999999999,125.180912,POINT (125.180912 10.055065)
25171,2,11.82165,125.0543,POINT (125.0543 11.82165)
25172,0,11.30703409,124.759736,POINT (124.759736 11.30703409)
25173,0,10.62754726,125.0414992,POINT (125.0414992 10.62754726)
25174,1,11.37120462,124.9748658,POINT (124.9748658 11.37120462)
25176,1,11.30703519,124.5289034,POINT (124.5289034 11.30703519)
25177,1,11.16176717,124.7641803,POINT (124.7641803 11.16176717)
25180,0,10.73793986,124.96369990000001,POINT (124.9636999 10.73793986)
25181,2,11.70222222,124.4572,POINT (124.4572 11.70222222)
25183,2,10.57125153,124.97112109999999,POINT (124.9711211 10.57125153)
25184,2,10.334678,124.97033400000001,POINT (124.970334 10.334678)
25185,2,10.8537316,124.9958443,POINT (124.9958443 10.8537316)
25186,2,11.56557,124.54656200000001,POINT (124.546562 11.56557)
25189,2,10.61097078,124.96278829999999,POINT (124.9627883 10.61097078)
25192,0,11.47091342,124.40973740000001,POINT (124.4097374 11.47091342)
25193,2,11.54527778,124.61416670000001,POINT (124.6141667 11.54527778)
25194,0,10.43070596,124.8494547,POINT (124.8494547 10.43070596)
25195,1,11.22965,124.99303700000002,POINT (124.993037 11.22965)
25196,0,11.28148122,124.68529199999999,POINT (124.685292 11.28148122)
25197,1,11.20502778,124.99627779999999,POINT (124.9962778 11.20502778)
25198,2,11.1082,124.57700000000001,POINT (124.577 11.1082)
25199,2,11.6993,124.742,POINT (124.742 11.6993)
25200,0,11.16166667,125.54416670000002,POINT (125.5441667 11.16166667)
25201,2,12.37529934,124.3424034,POINT (124.3424034 12.37529934)
25202,2,11.24090502,124.9002024,POINT (124.9002024 11.24090502)
25203,2,12.44566001,124.31178329999999,POINT (124.3117833 12.44566001)
25204,2,11.16232133,124.93501289999999,POINT (124.9350129 11.16232133)
25206,2,10.94733596,125.01584469999999,POINT (125.0158447 10.94733596)
25207,0,12.116537,124.627678,POINT (124.627678 12.116537)
25209,2,11.37779547,124.91020300000001,POINT (124.910203 11.37779547)
25211,0,11.771494,124.949605,POINT (124.949605 11.771494)
25213,1,12.26503128,124.74735259999999,POINT (124.7473526 12.26503128)
25216,2,11.268786,125.55093000000001,POINT (125.55093 11.268786)
25217,2,12.51937418,125.04947659999998,POINT (125.0494766 12.51937418)
25218,2,10.92062775,124.814801,POINT (124.814801 10.92062775)
25221,0,10.94872591,124.7870012,POINT (124.7870012 10.94872591)
25222,2,11.701012,124.44389299999999,POINT (124.443893 11.701012)
25223,0,11.475,124.49361110000001,POINT (124.4936111 11.475)
25224,0,10.62513697,124.92112140000002,POINT (124.9211214 10.62513697)
25226,1,10.802282,124.98112900000001,POINT (124.981129 10.802282)
